item_link	item_id
https://movielens.org/movies/168886	655
https://movielens.org/movies/162600	754
https://movielens.org/movies/89745	183
https://movielens.org/movies/3578	411
https://movielens.org/movies/75341	636
https://movielens.org/movies/46062	399
https://movielens.org/movies/916	631
https://movielens.org/movies/915	634
https://movielens.org/movies/912	192
https://movielens.org/movies/55768	229
https://movielens.org/movies/80350	366
https://movielens.org/movies/858	119
https://movielens.org/movies/72641	134
https://movielens.org/movies/4270	240
https://movielens.org/movies/919	742
https://movielens.org/movies/74754	699
https://movielens.org/movies/6564	47
https://movielens.org/movies/6764	611
https://movielens.org/movies/168252	435
https://movielens.org/movies/168250	540
https://movielens.org/movies/4823	232
https://movielens.org/movies/205054	538
https://movielens.org/movies/206845	558
https://movielens.org/movies/165965	450
https://movielens.org/movies/318	65
https://movielens.org/movies/8666	566
https://movielens.org/movies/197711	776
https://movielens.org/movies/48385	275
https://movielens.org/movies/117529	39
https://movielens.org/movies/1270	414
https://movielens.org/movies/3753	142
https://movielens.org/movies/135887	64
https://movielens.org/movies/6593	737
https://movielens.org/movies/112552	508
https://movielens.org/movies/1954	147
https://movielens.org/movies/69606	561
https://movielens.org/movies/112556	13
https://movielens.org/movies/206419	709
https://movielens.org/movies/6383	45
https://movielens.org/movies/187593	259
https://movielens.org/movies/149406	228
https://movielens.org/movies/49651	453
https://movielens.org/movies/99114	433
https://movielens.org/movies/99112	506
https://movielens.org/movies/159093	44
https://movielens.org/movies/136864	425
https://movielens.org/movies/63992	53
https://movielens.org/movies/1784	387
https://movielens.org/movies/130490	212
https://movielens.org/movies/168418	42
https://movielens.org/movies/116823	35
https://movielens.org/movies/174055	323
https://movielens.org/movies/7669	630
https://movielens.org/movies/135141	213
https://movielens.org/movies/135143	319
https://movielens.org/movies/2571	178
https://movielens.org/movies/910	524
https://movielens.org/movies/4370	266
https://movielens.org/movies/58559	120
https://movielens.org/movies/127114	571
https://movielens.org/movies/1097	748
https://movielens.org/movies/168326	588
https://movielens.org/movies/127108	395
