user	item	timestamp	rating
1	1	-1-	4
1	2	-1-	5
1	3	-1-	5
1	4	-1-	5
1	5	-1-	5
1	6	-1-	4
1	7	-1-	5
1	8	-1-	4
1	9	-1-	5
1	10	-1-	5
1	11	-1-	4
1	12	-1-	3
1	13	-1-	4
1	14	-1-	4
1	15	-1-	3
1	16	-1-	3
1	17	-1-	4
1	18	-1-	3
1	19	-1-	4
1	20	-1-	5
1	21	-1-	5
1	22	-1-	5
1	23	-1-	5
1	24	-1-	3
1	25	-1-	4
1	26	-1-	4
1	27	-1-	5
1	28	-1-	3
1	29	-1-	5
1	30	-1-	4
1	31	-1-	3
1	32	-1-	5
1	33	-1-	5
1	34	-1-	3
1	35	-1-	4
1	36	-1-	3
1	37	-1-	3
1	38	-1-	5
1	39	-1-	5
1	40	-1-	3
1	41	-1-	5
1	42	-1-	3
1	43	-1-	4
1	44	-1-	3
1	45	-1-	5
1	46	-1-	4
1	47	-1-	5
1	48	-1-	4
1	49	-1-	4
1	50	-1-	4
1	51	-1-	5
1	52	-1-	4
1	53	-1-	5
2	65	-1-	3
2	66	-1-	4
2	67	-1-	5
2	68	-1-	4
2	69	-1-	4
2	70	-1-	5
2	71	-1-	5
2	72	-1-	4
2	73	-1-	3
2	74	-1-	5
2	75	-1-	4
2	76	-1-	4
2	77	-1-	4
2	78	-1-	5
2	79	-1-	5
2	80	-1-	4
2	81	-1-	3
2	56	-1-	5
2	82	-1-	4
2	83	-1-	5
2	84	-1-	4
2	85	-1-	3
2	86	-1-	4
2	87	-1-	5
2	88	-1-	5
2	89	-1-	4
2	90	-1-	5
2	91	-1-	5
2	92	-1-	4
2	93	-1-	4
2	94	-1-	3
2	95	-1-	4
2	96	-1-	5
2	54	-1-	3
2	97	-1-	4
2	98	-1-	5
2	99	-1-	4
2	6	-1-	5
2	13	-1-	5
2	100	-1-	4
2	101	-1-	5
2	102	-1-	3
2	103	-1-	4
2	104	-1-	5
2	105	-1-	3
2	106	-1-	3
2	107	-1-	3
2	108	-1-	5
2	41	-1-	4
2	109	-1-	4
2	110	-1-	5
3	65	-1-	3
3	119	-1-	3
3	120	-1-	3
3	1	-1-	4
3	121	-1-	3
3	122	-1-	3
3	74	-1-	4
3	123	-1-	3
3	49	-1-	4
3	124	-1-	3
3	125	-1-	3
3	126	-1-	3
3	127	-1-	4
